ITEM DESCRIPTION,CATEGORY,SUB-CATEGORY,UNIT,JANUARY_2021,FEBRUARY_2021,MARCH_2021,APRIL_2021,MAY_2021,JUNE_2021,JULY_2021,AUGUST_2021,SEPTEMBER_2021,OCTOBER_2021,NOVEMBER_2021,DECEMBER_2021,Rate per Month_2021,TOTAL_2021,JANUARY_2022,FEBRUARY_2022,MARCH_2022,APRIL_2022,MAY_2022,JUNE_2022,JULY_2022,AUGUST_2022,SEPTEMBER_2022,OCTOBER_2022,NOVEMBER_2022,DECEMBER_2022,Rate per Month_2022,TOTAL_2022,JANUARY_2023,FEBRUARY_2023,MARCH_2023,APRIL_2023,MAY_2023,JUNE_2023,JULY_2023,AUGUST_2023,SEPTEMBER_2023,OCTOBER_2023,NOVEMBER_2023,DECEMBER_2023,Rate per Month_2023,TOTAL_2023
Anti A1 Lectin 5ml 79,Medical Items,Laboratory Test Kits,Bottle,0,3,4,0,4,0,0,2,0,0,0,3,1.333333333,16,0,0,0,0,0,2,0,0,2,1,0,0,0.416666667,5,0,1,1,0,0,0,0,0,0,0,0,0,0.166666667,2
Apexolever - Straight / Curved 79,Medical Items,Dental Consumables,Set,1,0,4,1,0,1,0,3,1,0,0,3,1.166666667,14,0,1,2,0,0,0,1,0,0,0,3,0,0.583333333,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Apron - Plastic Disposable 79,Medical Items,Medical Consumables,Box,25,20,3,10,23,33,10,0,0,2,0,0,10.5,126,25,17,8,7,19,34,18,2,0,1,0,4,11.25,135,30,20,7,10,20,36,15,0,0,0,0,0,11.5,138
Articulating Paper - Bausch - 300stripes/Box (Red) 79,Medical Items,Dental Consumables,Box,1,1,4,0,2,1,4,2,2,0,0,2,1.583333333,19,1,4,0,0,0,0,2,0,4,0,1,1,1.083333333,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Articulating Paper - Thin Blue 79,Medical Items,Dental Consumables,Box,4,0,0,4,0,0,0,0,4,0,0,1,1.083333333,13,0,0,1,1,3,0,0,4,0,0,0,0,0.75,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Askina Calgitrol Ag 10 X 10 Cm (10/Box) 79,Medical Items,Medical Consumables,Box,3,0,3,0,0,0,0,0,0,0,4,3,1.083333333,13,2,0,0,0,0,4,0,0,0,0,2,0,0.666666667,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Askina Calgitrol Paste 15gm (5/Box) 79,Medical Items,Medical Consumables,Box,0,2,3,0,0,0,0,0,3,4,1,0,1.083333333,13,0,0,0,1,0,0,0,2,0,0,0,1,0.333333333,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Askina Foam 10 X 10 Cm (10/Box) 79,Medical Items,Medical Consumables,Box,0,0,2,0,0,0,0,0,0,3,0,0,0.416666667,5,3,0,0,3,0,0,1,2,2,0,2,0,1.083333333,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Askina Heel (5/Box) 79,Medical Items,Medical Consumables,Box,0,0,0,0,0,0,0,2,0,0,2,0,0.333333333,4,0,0,2,0,2,2,0,0,0,2,0,3,0.916666667,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Askina Silnet 10 X 18cm (10/Box) 79,Medical Items,Medical Consumables,Box,0,0,0,0,11,0,4,0,0,0,4,3,1.833333333,22,0,0,3,2,8,2,1,0,0,0,3,0,1.583333333,19,0,0,0,0,10,0,0,0,0,0,0,0,0.833333333,10
Askina Sorb 10 X 10 Cm (3/Box) 79,Medical Items,Medical Consumables,Box,2,0,0,3,1,0,0,0,0,0,3,0,0.75,9,1,0,2,0,0,1,4,0,1,0,1,0,0.833333333,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASO Latex Test Kit Plasmatec (Non Sample Dilution) Aso/010 79,Medical Items,Laboratory Consumables,Kit,0,1,0,0,0,0,4,2,0,0,2,2,0.916666667,11,1,0,2,0,1,0,0,4,4,0,0,0,1,12,0,0,4,0,1,0,0,0,0,0,0,0,0.416666667,5
ASO Reagent 50 Tests/6packs 79,Medical Items,Laboratory Test Kits,Kit,4,0,0,0,3,0,2,4,2,0,2,2,1.583333333,19,0,4,0,0,0,0,0,0,3,0,0,4,0.916666667,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASO/Rf Performance Verifier I 79,Medical Items,Laboratory Consumables,Box,0,4,3,0,0,3,5,2,0,0,0,2,1.583333333,19,0,4,3,0,0,3,0,1,0,0,0,0,0.916666667,11,1,0,1,1,0,0,1,0,0,0,0,0,0.333333333,4
ASO/Rf Performance Verifier II 79,Medical Items,Laboratory Consumables,Box,2,2,0,5,4,0,0,3,4,4,2,0,2.166666667,26,0,2,0,4,5,0,0,0,1,0,2,3,1.416666667,17,1,1,1,1,1,0,1,0,0,0,0,0,0.5,6
AST - 300t - Dt Slides - Code 8433815 - Vitros 250 79,Medical Items,Laboratory Test Kits,Kit,9,6,4,18,9,1,8,0,0,0,0,0,4.583333333,55,8,6,5,12,11,6,9,0,0,0,0,3,5,60,9,5,9,14,9,4,11,0,0,0,0,0,5.083333333,61
Asthaline Inhaler 79,Medical Items,Medical Consumables,Numbers,3,4,0,0,1,1,2,0,2,0,3,0,1.333333333,16,0,4,0,0,0,4,0,0,0,2,1,0,0.916666667,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Asthaline Solution 79,Medical Items,Pharmaceuticals,Vial,110,22,59,47,40,59,54,2,2,3,1,0,33.25,399,112,18,60,54,40,64,56,2,0,0,0,1,33.91666667,407,112,23,59,50,45,61,57,0,0,0,0,0,33.91666667,407
Atorin 10mg Tablet 79,Medical Items,Pharmaceuticals,Tab,0,0,22,0,0,20,65,0,0,0,0,0,8.916666667,107,0,0,17,4,0,15,71,1,0,0,0,0,9,108,0,0,20,0,0,20,70,0,0,0,0,0,9.166666667,110
Atrophine Sulphate Injection - 0.65mg/Ml 79,Medical Items,Pharmaceuticals,Ampule,55,30,13,18,238,31,45,0,1,1,1,4,36.41666667,437,57,31,14,26,242,28,40,2,4,4,3,0,37.58333333,451,60,27,10,23,239,30,45,0,0,0,0,0,36.16666667,434
Augmentin 625 mg (Tab) 79,Medical Items,Medical Consumables,Tablet,2,1,0,0,2,0,0,4,0,0,0,0,0.75,9,3,4,0,4,0,0,1,0,2,0,2,0,1.333333333,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Autoclave Bags - Medium - 140x75x250mm 79,Medical Items,Medical Consumables,Numbers,771,697,564,450,1018,1028,759,2,0,0,0,2,440.9166667,5291,774,697,563,446,1016,1030,761,0,3,4,1,3,441.5,5298,770,700,565,450,1018,1030,758,0,0,0,0,0,440.9166667,5291
Autoclave Bags - Small - 90x50x170mm 79,Medical Items,Medical Consumables,Numbers,741,506,289,71,352,698,300,0,4,2,2,0,247.0833333,2965,737,508,290,65,359,696,303,0,2,0,3,1,247,2964,740,505,290,70,355,700,300,0,0,0,0,0,246.6666667,2960
Autoclave Bags Large - 180x95x380mm 79,Medical Items,Medical Consumables,Numbers,850,0,789,495,0,1,55,0,1,2,0,3,183,2196,855,0,787,492,0,4,57,0,0,0,4,0,183.25,2199,853,0,790,494,0,0,60,0,0,0,0,0,183.0833333,2197
Avil - Pheniramine Maleate Injection 79,Medical Items,Pharmaceuticals,Ampule,31,3,21,0,0,62,22,4,0,0,3,0,12.16666667,146,32,4,21,0,0,65,26,0,2,0,0,0,12.5,150,30,0,21,0,0,61,27,0,0,0,0,0,11.58333333,139
Azithromycin 15mcg - Sd204-5ct 79,Medical Items,Laboratory Test Kits,Kit,1,0,3,0,2,0,2,3,1,0,0,0,1,12,4,4,0,2,4,0,4,2,0,3,0,0,1.916666667,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Azithromycin 500mg 79,Medical Items,Pharmaceuticals,Tab,0,2,0,0,0,0,0,0,2,0,0,0,0.333333333,4,0,1,3,3,1,2,0,0,0,0,2,3,1.25,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Baby Pad (Length - 15cm , Width - 13cm) 79",Medical Items,Medical Consumables,Packet,0,4,4,0,3,0,0,2,3,0,0,0,1.333333333,16,1,4,0,0,0,2,0,0,0,1,4,2,1.166666667,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacitracin-B Disc 79,Medical Items,Laboratory Test Kits,Kit,3,3,3,3,2,0,0,0,1,0,0,0,1.25,15,4,1,0,3,4,0,0,0,0,1,3,0,1.333333333,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria Filter - Servoguard - Servo I - Maquet - 6671775 79,Medical Items,Medical Consumables,Numbers,19,4,0,41,0,4,0,0,0,0,0,3,5.916666667,71,23,2,0,38,0,0,0,0,0,0,0,4,5.583333333,67,20,0,0,40,0,0,0,0,0,0,0,0,5,60
"Bandage - 3"" - Elastomull - 8cm X 4m 79",Medical Items,Medical Consumables,Roll,583,892,288,604,659,734,638,0,0,0,0,0,366.5,4398,579,886,290,602,656,727,642,0,1,0,0,0,365.25,4383,580,890,290,600,660,730,640,0,0,0,0,0,365.8333333,4390
Barcode Roll - RD-S05C1 Die-Cut Roll for TD-2130N - 51mm x 26mm 79,General Items,Stationary,Roll,1,14,4,0,14,0,6,0,0,0,0,0,3.25,39,2,10,3,0,11,3,6,0,0,0,2,3,3.333333333,40,0,10,0,0,10,0,10,0,0,0,0,0,2.5,30
Battery - Size: 3V (CR 2032) 79,General Items,General Items,Numbers,13,1,7,2,11,0,3,0,0,4,3,1,3.75,45,14,2,1,2,8,0,2,0,1,0,0,4,2.833333333,34,12,5,5,6,13,2,0,0,0,0,0,0,3.583333333,43
Battery - Size: 9V - Alkaline 79,General Items,General Items,Numbers,3,1,2,0,0,0,1,2,0,0,0,0,0.75,9,0,0,0,3,4,0,0,0,0,0,3,0,0.833333333,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Battery - Size: AA - Alkaline 79,General Items,General Items,Numbers,240,113,66,85,114,176,195,1,3,0,4,4,83.41666667,1001,240,120,59,87,111,176,192,0,4,0,3,0,82.66666667,992,238,116,64,88,112,180,192,0,0,0,0,0,82.5,990
Battery - Size: AAA - Alkaline 79,General Items,General Items,Numbers,174,112,84,64,18,103,96,0,0,1,0,0,54.33333333,652,170,109,82,71,11,109,90,3,0,0,0,3,54,648,172,112,84,68,16,108,92,0,0,0,0,0,54.33333333,652
Battery - Size: C - Alkaline 79,General Items,General Items,Numbers,5,0,0,0,3,5,1,0,3,0,0,0,1.416666667,17,6,0,0,0,2,0,2,0,3,2,4,4,1.916666667,23,10,0,0,0,0,4,0,0,0,0,0,0,1.166666667,14
Battery - Size: D - Alkaline 79,General Items,General Items,Numbers,0,0,0,0,0,2,4,4,0,0,0,0,0.833333333,10,0,0,0,2,0,0,4,0,0,0,0,0,0.5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Battery 12v-40ah-441320l 79,General Items,General Items,Numbers,2,0,0,1,0,3,0,0,2,0,0,2,0.833333333,10,0,0,3,0,0,3,3,0,0,0,0,0,0.75,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Battery- Lr44 (Pen Torch) 79,General Items,General Items,Numbers,0,3,1,0,0,4,0,0,4,1,0,2,1.25,15,1,1,0,0,0,0,2,0,2,0,0,1,0.583333333,7,0,3,0,0,0,0,0,0,0,0,0,0,0.25,3
Betadine Ointment 79,Medical Items,Pharmaceuticals,Tube,51,74,12,9,3,32,30,0,0,1,3,0,17.91666667,215,52,69,6,7,0,28,29,0,0,0,2,0,16.08333333,193,55,74,8,5,4,32,27,0,0,0,0,0,17.08333333,205
Betadine Scrub 79,Medical Items,Medical Consumables,Bottle,18,1,0,13,20,20,39,0,0,0,3,0,9.5,114,18,0,4,13,18,18,37,0,3,4,0,0,9.583333333,115,15,0,0,16,17,22,36,0,0,0,0,0,8.833333333,106
"Betadine Solution, Povidone-Iodine Solution. Ip - Microbicidal Solt, 500ml 79",Medical Items,Medical Consumables,Bottle,55,57,64,29,56,163,45,0,0,4,0,4,39.75,477,51,48,56,30,61,163,39,2,0,1,2,0,37.75,453,53,53,61,26,60,166,43,0,0,0,0,0,38.5,462
Betnesol Injection 79,Medical Items,Pharmaceuticals,Ampule,27,5,1,2,3,3,0,0,4,4,0,2,4.25,51,33,12,3,0,0,0,3,1,2,0,1,0,4.583333333,55,30,10,0,0,0,0,0,0,0,0,0,0,3.333333333,40
Bibag 5008 650g (16pcs/Box) 79,Medical Items,Dialysis,Box,43,39,32,41,61,37,32,4,0,0,1,0,24.16666667,290,41,42,33,42,56,39,26,0,0,0,1,0,23.33333333,280,40,41,33,38,61,39,28,0,0,0,0,0,23.33333333,280
Big Cotton Swabs 79,Medical Items,Medical Consumables,Packet,3,1,1,4,2,0,0,0,0,0,0,0,0.916666667,11,5,0,0,0,0,0,0,0,0,0,0,0,0.416666667,5,3,0,0,0,0,0,0,0,0,0,0,0,0.25,3
Binder Clip - 12mm - 12pcs/Box 79,General Items,Stationary,Box,0,0,4,5,0,0,0,0,0,0,3,0,1,12,0,0,4,8,1,0,2,4,0,1,4,4,2.333333333,28,0,0,0,4,0,0,3,0,0,0,0,0,0.583333333,7
Binder Clip - 15mm - 12pcs/Pkt 79,General Items,Stationary,Box,0,17,0,0,3,0,0,0,1,0,4,1,2.166666667,26,0,10,0,0,0,0,9,0,0,1,0,0,1.666666667,20,0,15,0,0,0,2,5,0,0,0,0,0,1.833333333,22
Binder Clip - 19mm - 12pcs/Pkt 79,General Items,Stationary,Box,0,16,1,2,2,1,0,0,0,0,3,0,2.083333333,25,6,18,0,1,0,1,0,0,0,0,0,4,2.5,30,4,15,2,0,0,0,0,0,0,0,0,0,1.75,21
Binder Clip - 25mm - 12pcs/Pkt 79,General Items,Stationary,Box,0,0,1,4,0,0,0,0,0,0,3,0,0.666666667,8,2,2,4,0,4,7,0,2,0,4,3,4,2.666666667,32,0,0,0,0,0,5,1,0,0,0,0,0,0.5,6
